first_name,last_name,state,district,party,chamber
Kweisi,Mfume,Maryland,7,Democratic,House
James,Walkinshaw,Virginia,11,Democratic,House
Alexandria,Ocasio-Cortez,New York,14,Democratic,House
Susie,Lee,Nevada,3,Democratic,House
Chris,Pappas,New Hampshire,1,Democratic,House
Michael,Guest,Mississippi,3,Republican,House
Pete,Stauber,Minnesota,8,Republican,House
Ilhan,Omar,Minnesota,5,Democratic,House
Haley,Stevens,Michigan,11,Democratic,House
Ayanna,Pressley,Massachusetts,7,Democratic,House
Lori,Trahan,Massachusetts,3,Democratic,House
Sharice,Davids,Kansas,3,Democratic,House
James,Baird,Indiana,4,Republican,House
Lauren,Underwood,Illinois,14,Democratic,House
Sean,Casten,Illinois,6,Democratic,House
Russ,Fulcher,Idaho,1,Republican,House
W.,Steube,Florida,17,Republican,House
Jahana,Hayes,Connecticut,5,Democratic,House
Jason,Crow,Colorado,6,Democratic,House
Joe,Neguse,Colorado,2,Democratic,House
Mike,Levin,California,49,Democratic,House
Kevin,Hern,Oklahoma,1,Republican,House
Joseph,Morelle,New York,25,Democratic,House
Troy,Balderson,Ohio,12,Republican,House
Michael,Cloud,Texas,27,Republican,House
Jimmy,Gomez,California,34,Democratic,House
Ralph,Norman,South Carolina,5,Republican,House
Ron,Estes,Kansas,4,Republican,House
Pramila,Jayapal,Washington,7,Democratic,House
Jodey,Arrington,Texas,19,Republican,House
David,Kustoff,Tennessee,8,Republican,House
Brian,Fitzpatrick,Pennsylvania,1,Republican,House
Adriano,Espaillat,New York,13,Democratic,House
Josh,Gottheimer,New Jersey,5,Democratic,House
Don,Bacon,Nebraska,2,Republican,House
Jack,Bergman,Michigan,1,Republican,House
Jamie,Raskin,Maryland,8,Democratic,House
Mike,Johnson,Louisiana,4,Republican,House
Clay,Higgins,Louisiana,3,Republican,House
Raja,Krishnamoorthi,Illinois,8,Democratic,House
Darren,Soto,Florida,9,Democratic,House
J.,Correa,California,46,Democratic,House
Nanette,Barragán,California,44,Democratic,House
Salud,Carbajal,California,24,Democratic,House
Steven,Horsford,Nevada,4,Democratic,House
Bradley,Schneider,Illinois,10,Democratic,House
Daniel,Webster,Florida,11,Republican,House
Ed,Case,Hawaii,1,Democratic,House
Dave,Min,California,47,Democratic,House
Jeff,Hurd,Colorado,3,Republican,House
Andy,Biggs,Arizona,5,Republican,House
Ro,Khanna,California,17,Democratic,House
James,Comer,Kentucky,1,Republican,House
Warren,Davidson,Ohio,8,Republican,House
Trent,Kelly,Mississippi,1,Republican,House
Glenn,Grothman,Wisconsin,6,Republican,House
Dan,Newhouse,Washington,4,Republican,House
Stacey,Plaskett,Virgin Islands,,Democratic,House
Donald,Beyer,Virginia,8,Democratic,House
Brian,Babin,Texas,36,Republican,House
Elise,Stefanik,New York,21,Republican,House
Bonnie,Watson Coleman,New Jersey,12,Democratic,House
David,Rouzer,North Carolina,7,Republican,House
Tom,Emmer,Minnesota,6,Republican,House
Seth,Moulton,Massachusetts,6,Democratic,House
Mike,Bost,Illinois,12,Republican,House
Rick,Allen,Georgia,12,Republican,House
Barry,Loudermilk,Georgia,11,Republican,House
Earl,Carter,Georgia,1,Republican,House
Norma,Torres,California,35,Democratic,House
Bruce,Westerman,Arkansas,4,Republican,House
J.,Hill,Arkansas,2,Republican,House
Aumua,Radewagen,American Samoa,,Republican,House
Gary,Palmer,Alabama,6,Republican,House
